"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0896274143863","18.494018296974","18.175481686775","21.3083875683502","23.6862028769543","23.6585111920875","24.5402457742652","23.7402790195516","23.4035270481435","23.6001446369284","23.3314347553682","25.6157791761409","26.5172858314778","26.4895813379307","26.1986123657051","25.754430672188","24.2441641508153","22.2254564843631","21.8572836156402","23.2098789257464","24.4851919448725","25.0173670630267","25.1392401801856","25.4515566141696","24.6270368215254","23.8644242388225","21.3685837540406","24.5812768937127","24.0948523058625","26.3779751009555","26.4561114036472","25.8649460173764","25.7331016083188","25.6572949317959","24.989178673903","24.530270148229","24.3808776962875","26.5029380864053","26.7430233265259","25.8998783073909","26.1573356493854","25.8755888653756","26.3090809737708","26.7895601589733","26.9626368700003","26.706707151666","",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","25.915402431263","27.6120905924962","27.9038754307352","31.1084772401006","31.6191570203661","31.4136612506303","33.8517496022245","33.322423459081","33.4739417524882","34.5654438737343","34.9966352092361","35.4160012481996","35.7051300943499","35.5729953121721","36.2747019751862","36.855583666469","37.1699418693453","35.7534635722505","35.5912700666184","36.0426099357778","36.697148990262","38.7564718107163","38.6749163266011","48.7183958892184","48.7386551439875","47.5228026402187","47.2509965921999","47.1087352314622","46.2637884393769","46.6155776930225","45.9729061942825","46.0361198617491","48.6070087732423","45.9123747815754","45.188096157763","43.9779149065683","44.5742404112228","47.848356650487","46.4268063334548","45.5076838109706","46.1450516838","46.6216192018652","47.5091801055309","46.1915253646393","45.57307207773","","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245613","24.7887090842221","","","",
"Burundi","BDI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0162153488943","20.7437947032339","24.5436596936314","23.5190672037332","19.9251600008438","17.0307867730901","18.2640023337223","18.987756121939","18.0602217830479","","","","","","","","","","","21.4202292080077","19.9992977562959","17.9383565917268","17.0163409836066","","","","","",
"Belgium","BEL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2931680904734","45.5434875225986","44.3177307299639","43.999051557084","43.3505441681066","42.3270286807476","42.8649632564852","41.0852194625927","42.2736624604395","40.5792492270115","43.3828024070826","40.3622275127724","40.1091924429778","41.7607287230993","44.0238590909886","43.2770702861267","44.4011086072693","45.7258204578528","45.5299717234907","45.2293715117593","42.0115016067884","41.445087224873","","",
"Benin","BEN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4864355881305","10.8025833724753","12.0207507269363","11.3018504563343","12.0903117846712","12.4862818671576","12.0650360889549","13.1219357075546","13.2078814771127","13.296202137999","12.4121438336678","12.8461545283871","12.7649698282531","","","","","",
"Burkina Faso","BFA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1839481323123","10.4668905880339","11.4489199767813","11.4768174782094","12.6813436730191","13.8484022788366","12.1034719837661","12.6290152779803","11.9157400747509","12.4152968921741","14.5365259452638","13.8752771550067","14.4884768796016","14.9810451754907","17.3288642188692","21.1144384720465","",
"Bangladesh","BGD","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.85279247057531","7.88712372772849","7.83605027787651","7.60497659759871","8.1426283401405","8.33493730155715","8.66279314084748","9.42878117115452","9.87158360325856","9.26625106718959","9.84388457755423","9.63853873257843","9.50711961152747","9.50443649145954","9.00588487034226","9.41891628073041","","",
"Bulgaria","BGR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5154855851211","39.3728813559322","39.5488047808765","43.683506189361","43.7151826484018","29.6663940345977","29.0803447317209","17.0855925947562","20.2952760395678","22.6014267503629","22.0863404922694","24.3702188546714","24.7757334453443","25.586607145313","24.9660522814432","31.7393046236951","29.8659109229581","32.8293520736165","31.8755482373251","33.9125009077096","31.639507404579","29.9046521130772","31.0555226449408","33.1053158755578","36.8472372128564","34.7890312412504","32.3617539572931","","",
"Bahrain","BHR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.4964788732394","24.7508209944115","26.0579937304075","26.1494399836342","25.2507869852495","23.3836511495704","22.2333619070462","22.7411710827642","23.943056212636","24.073108016594","19.9022611750668","20.8411474056075","23.0886666372329","20.866287871538","19.3691419696623","17.3135946418409","16.2896851061383","16.0054244059101","16.2177818188965","19.7624980144398","19.4675528718405","22.5032347134935","","23.3550662982116","","","","","",
